Links to Proxy Access Bylaws
(September 2017)
Company	Link
DCT Industrial Trust Inc.	http://www.sec.gov/Archives/edgar/data/1170991/000119312516577637/d191172dex31.htm
Intuit Inc.	http://www.sec.gov/Archives/edgar/data/896878/000089687816000219/exhibit301bylaws.htm
Republic Services, Inc.	http://www.sec.gov/Archives/edgar/data/1060391/000106039116000079/exhibit33amendedandrestate.htm
The Timken Company 	https://www.sec.gov/Archives/edgar/data/98362/000119312516512691/d126201ddef14a.htm
Knight Transportation, Inc. 	https://www.sec.gov/Archives/edgar/data/929452/000100888616000297/definitiveproxy2016.htm
UDR, Inc.	http://www.sec.gov/Archives/edgar/data/74208/000007420816000181/ex31-8xkx5x18x2016.htm
Qorvo, Inc.	http://www.sec.gov/Archives/edgar/data/1604778/000160477816000159/exhibit31-amendedandrestat.htm
Westmoreland Coal Company	http://www.sec.gov/Archives/edgar/data/106455/000010645516000142/exh31_wccproxyaccess.htm
Electronic Arts Inc.	https://www.sec.gov/Archives/edgar/data/712515/000071251516000115/amendedandrestatedbylaw.htm
Kate Spade & Company	http://www.sec.gov/Archives/edgar/data/352363/000110465916123370/a16-12154_1ex3db.htm
Brandywine Realty Trust	http://www.sec.gov/Archives/edgar/data/790816/000156459016020040/bdn-ex31_17.htm
BlackRock Inc. 	https://www.sec.gov/Archives/edgar/data/1364742/000134100416001569/form8k.htm
The Southern Company 	http://www.sec.gov/Archives/edgar/data/92122/000009212216000164/x3-2so2016shareholdermtg8k.htm
The Wendy’s Company	https://www.sec.gov/Archives/edgar/data/30697/000119312516606529/d367518dex31.htm
Ingersoll-Rand plc	http://www.sec.gov/Archives/edgar/data/1466258/000146625816000468/ingersoll-randplcxconstitu.htm
Freeport McMoRan Inc. 	https://www.sec.gov/Archives/edgar/data/831259/000083125916000081/exhibit3206082016.htm
Rockwell Automation, Inc.	http://www.sec.gov/Archives/edgar/data/1024478/000119312516618633/d209974dex31.htm
Visteon Corporation 	https://www.sec.gov/Archives/edgar/data/1111335/000119312516619139/d201230dex32a.htm
Oracle Corporation	http://www.sec.gov/Archives/edgar/data/1341439/000119312516623620/d200599dex302.htm
DaVita Inc.	https://www.sec.gov/Archives/edgar/data/927066/000156459016023348/dva-ex31_804.htm
The Walt Disney Company	https://www.sec.gov/Archives/edgar/data/1001039/000100103916000439/fy2016_q3x8kxex31xamendedb.htm
Cardinal Health, Inc.	https://www.sec.gov/Archives/edgar/data/721371/000072137116000243/exhibit32-restatedcodeofre.htm
WD-40 Company	https://www.sec.gov/Archives/edgar/data/105132/000010513216000081/wdfc-20160718xex3_a.htm
J.C. Penney Company, Inc.	https://www.sec.gov/Archives/edgar/data/1166126/000116612616000099/exhibit3-bylaws.htm
The Hartford Financial Services Group, Inc.	https://www.sec.gov/Archives/edgar/data/874766/000129993316002762/exhibit1.htm
Teradata Corporation	https://www.sec.gov/Archives/edgar/data/816761/000119312516666799/d224754dex31.htm
PerkinElmer, Inc.	https://www.sec.gov/Archives/edgar/data/31791/000119312516659969/d193868dex32.htm
VeriSign, Inc.	https://www.sec.gov/Archives/edgar/data/1014473/000101447316000111/vrsn-2016x630x10qxex302.htm
Cisco Systems, Inc.	https://www.sec.gov/Archives/edgar/data/858877/000119312516664620/d234795dex31.htm
